timestamp,open_WFC,high_WFC,low_WFC,close_WFC,adjusted_close_WFC,volume_WFC,dividend_amount_WFC,split_coefficient_WFC,open_JPM,high_JPM,low_JPM,close_JPM,adjusted_close_JPM,volume_JPM,dividend_amount_JPM,split_coefficient_JPM,open_BAC,high_BAC,low_BAC,close_BAC,adjusted_close_BAC,volume_BAC,dividend_amount_BAC,split_coefficient_BAC,open_C,high_C,low_C,close_C,adjusted_close_C,volume_C,dividend_amount_C,split_coefficient_C,8-k_WFC,8-k_JPM,8-k_BAC,8-k_C
2019-10-22,50.44,51.02,50.23,50.62,50.62,18007709.0,0.0,1.0,123.45,125.1,123.12,124.79,124.79,12338041.0,0.0,1.0,30.97,31.37,30.75,31.2,31.2,58313312.0,0.0,1.0,71.72,72.87,71.47,72.06,72.06,10885809.0,0.0,1.0,"[""/media/Data/Programs/FinTech/data/documents/WFC/0001387131-19-007803.txt""]",[],[],[]
2019-10-21,50.28,50.5,50.18,50.46,50.46,19409100.0,0.0,1.0,122.05,123.77,121.99,123.55,123.55,12714600.0,0.0,1.0,30.67,31.15,30.63,31.02,31.02,61087400.0,0.0,1.0,70.52,71.89,70.52,71.81,71.81,13080600.0,0.0,1.0,"[""/media/Data/Programs/FinTech/data/documents/WFC/0001387131-19-007757.txt""]",[],[],[]
2019-10-18,49.34,50.22,49.32,49.97,49.97,21199500.0,0.0,1.0,120.0,121.02,119.86,120.56,120.56,10417400.0,0.0,1.0,30.13,30.49,30.1,30.35,30.35,48872900.0,0.0,1.0,69.32,70.09,69.14,69.74,69.74,10413600.0,0.0,1.0,"[""/media/Data/Programs/FinTech/data/documents/WFC/0001387131-19-007742.txt""]",[],[],[]
2019-10-17,49.98,50.17,49.48,49.61,49.61,20560100.0,0.0,1.0,120.75,121.57,119.88,120.35,120.35,10818500.0,0.0,1.0,30.3,30.54,30.0,30.26,30.26,55575900.0,0.0,1.0,70.03,70.34,69.18,69.6,69.6,11382800.0,0.0,1.0,"[""/media/Data/Programs/FinTech/data/documents/WFC/0000072971-19-000393.txt""]",[],[],[]
2019-10-16,50.04,50.28,49.45,49.59,49.59,23728400.0,0.0,1.0,119.96,120.62,119.38,119.68,119.68,11087700.0,0.0,1.0,30.37,30.72,30.15,30.17,30.17,87131700.0,0.0,1.0,70.82,71.46,69.42,69.5,69.5,17295400.0,0.0,1.0,[],[],"[""/media/Data/Programs/FinTech/data/documents/BAC/0000070858-19-000053.txt""]",[]
2019-10-15,49.28,51.25,48.78,50.11,50.11,38478400.0,0.0,1.0,118.85,121.59,117.87,119.96,119.96,23379000.0,0.0,1.0,29.34,30.24,29.11,29.73,29.73,78656000.0,0.0,1.0,70.17,72.08,68.7,71.22,71.22,22030100.0,0.0,1.0,"[""/media/Data/Programs/FinTech/data/documents/WFC/0000072971-19-000383.txt""]","[""/media/Data/Programs/FinTech/data/documents/JPM/0000019617-19-000196.txt"", ""/media/Data/Programs/FinTech/data/documents/JPM/0000019617-19-000194.txt""]",[],"[""/media/Data/Programs/FinTech/data/documents/C/0001144204-19-048230.txt""]"
2019-10-14,49.09,49.45,48.98,49.27,49.27,16870500.0,0.0,1.0,115.85,116.87,115.66,116.45,116.45,8779000.0,0.0,1.0,28.74,29.16,28.73,29.14,29.14,36040100.0,0.0,1.0,69.53,70.5,69.46,70.24,70.24,11398600.0,0.0,1.0,[],[],[],[]
2019-10-11,49.46,49.92,49.15,49.21,49.21,23024600.0,0.0,1.0,116.03,117.99,115.87,116.14,116.14,15076500.0,0.0,1.0,28.99,29.34,28.86,28.91,28.91,70008600.0,0.0,1.0,69.99,70.93,69.99,70.1,70.1,14921700.0,0.0,1.0,"[""/media/Data/Programs/FinTech/data/documents/WFC/0001387131-19-007593.txt""]",[],[],[]
2019-10-10,48.33,49.07,48.16,48.65,48.65,18267800.0,0.0,1.0,113.14,115.4,113.0,114.21,114.21,10994100.0,0.0,1.0,28.04,28.75,28.04,28.45,28.45,48239300.0,0.0,1.0,67.77,69.29,67.55,68.62,68.62,9817000.0,0.0,1.0,[],[],[],[]
2019-10-09,48.17,48.42,48.08,48.15,48.15,13467800.0,0.0,1.0,112.67,113.16,112.07,112.63,112.63,7273700.0,0.0,1.0,27.83,28.07,27.75,27.89,27.89,37511400.0,0.0,1.0,67.0,67.77,66.79,67.43,67.43,8357800.0,0.0,1.0,[],[],[],[]
